Ball,h1 (cm),h'1 (cm),h2 (cm),h'2 (cm),h3 (cm),D (cm),L (cm),x (predicted) (cm),x (actual) (cm),z (cm),diameter (cm),mass (g)
Plastic 1,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-10.1,4.1,2,4
Plastic 2,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.6,3,2,4
Plastic 3,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.4,2.2,2,4
Plastic 4,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-7.9,3.5,2,4
Plastic 5,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-7.8,2.1,2,4
Plastic 6,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-9.2,4.1,2,4
Plastic 7,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.7,2.2,2,4
Plastic 8,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.2,2.3,2,4
Plastic 9,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.3,3,2,4
Plastic 10,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.5,3.2,2,4
Plastic 11,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.6,3.4,2,4
Plastic 12,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.4,3.6,2,4
Plastic 13,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-7.6,3.9,2,4
Plastic 14,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8,3.3,2,4
Plastic 15,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.5,3.6,2,4
Plastic 16,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-7.7,3.7,2,4
Plastic 17,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8,3.5,2,4
Plastic 18,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.3,3.7,2,4
Plastic 19,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-8.4,3.6,2,4
Plastic 20,133.1,120.9,106.6,116.1,101.4,28.4,29,85.2,-9.7,3.5,2,4
